id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
106412,UCSB,IZC,,PreservedSpecimen,0b2e9b2d-d674-4e96-8326-87c864044cea,UCSB-IZC00011379,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Ophion sp. RBoph003",4613,,Ophion,"sp. RBoph003",,,"Rachel Behm",2018,,,,,,"P. & S. Russell",,,,2018-05-10,2018,5,10,130,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Road",,,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,czhu,"2018-07-05 13:06:54",,1,urn:uuid:0b2e9b2d-d674-4e96-8326-87c864044cea,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=106412
106413,UCSB,IZC,,PreservedSpecimen,3782a9de-736e-4338-9162-f95b1621d907,UCSB-IZC00010720,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Ophion sp. RBoph003",4613,,Ophion,"sp. RBoph003",,,"Rachel Behm",2018,,,,,,"P. & S. Russell",,,,2018-04-10,2018,4,10,100,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Road",,,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,czhu,"2018-07-05 13:08:02",,1,urn:uuid:3782a9de-736e-4338-9162-f95b1621d907,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=106413
106414,UCSB,IZC,,PreservedSpecimen,7bfd410f-6809-460b-a5bd-028d0ae4d1b2,UCSB-IZC00011288,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Ophion sp. RBoph003",4613,,Ophion,"sp. RBoph003",,,"Rachel Behm",2018,,,,,,"P. & S. Russell",,,,2018-04-10,2018,4,10,100,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Road",,,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,czhu,"2018-07-05 13:08:43",,1,urn:uuid:7bfd410f-6809-460b-a5bd-028d0ae4d1b2,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=106414
106415,UCSB,IZC,,PreservedSpecimen,615f7e1e-aef5-43d5-b03d-eb11f0b005ae,UCSB-IZC00011307,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Ophion sp. RBoph003",4613,,Ophion,"sp. RBoph003",,,"Rachel Behm",2018,,,,,,"P. & S. Russell",,,,2018-05-12,2018,5,12,132,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Road",,,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,czhu,"2018-07-05 13:11:42",,1,urn:uuid:615f7e1e-aef5-43d5-b03d-eb11f0b005ae,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=106415
106416,UCSB,IZC,,PreservedSpecimen,baae3ea5-2402-4a4d-affa-bd62a58e280c,UCSB-IZC00011287,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Ophion sp. RBoph003",4613,,Ophion,"sp. RBoph003",,,"Rachel Behm",2018,,,,,,"P. & S. Russell",,,,2018-05-12,2018,5,12,132,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Road",,,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,czhu,"2018-07-05 13:09:59",,1,urn:uuid:baae3ea5-2402-4a4d-affa-bd62a58e280c,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=106416
106417,UCSB,IZC,,PreservedSpecimen,3507c4c6-c3c2-425b-86c6-1a7e8b30a730,UCSB-IZC00010698,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Ophion sp. RBoph003",4613,,Ophion,"sp. RBoph003",,,"Rachel Behm",2018,,,,,,"P. & S. Russell",,,,2018-05-12,2018,5,12,132,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Road",,,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,czhu,"2018-07-05 13:12:39",,1,urn:uuid:3507c4c6-c3c2-425b-86c6-1a7e8b30a730,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=106417
106418,UCSB,IZC,,PreservedSpecimen,66fdb23e-eee6-420f-86e1-de186eb77d15,UCSB-IZC00011371,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Ophion sp. RBoph003",4613,,Ophion,"sp. RBoph003",,,"Rachel Behm",2018,,,,,,"P. & S. Russell",,,,2018-05-12,2018,5,12,132,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Road",,,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,czhu,"2018-07-05 13:13:23",,1,urn:uuid:66fdb23e-eee6-420f-86e1-de186eb77d15,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=106418
106420,UCSB,IZC,,PreservedSpecimen,6670e610-2b9c-44a7-b18f-a4502b6a310d,UCSB-IZC00011384,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Ophion sp. RBoph003",4613,,Ophion,"sp. RBoph003",,,"Rachel Behm",2018,,,,,,"P. & S. Russell",,,,2018-05-12,2018,5,12,132,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Road",,,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,czhu,"2018-07-05 13:13:57",,1,urn:uuid:6670e610-2b9c-44a7-b18f-a4502b6a310d,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=106420
106421,UCSB,IZC,,PreservedSpecimen,83f07943-0fec-494b-8c86-560001b5184c,UCSB-IZC00010682,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Ophion sp. RBoph003",4613,,Ophion,"sp. RBoph003",,,"Rachel Behm",2018,,,,,,"P. & S. Russell",,,,2018-05-12,2018,5,12,132,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Road",,,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,czhu,"2018-07-05 13:14:55",,1,urn:uuid:83f07943-0fec-494b-8c86-560001b5184c,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=106421
106422,UCSB,IZC,,PreservedSpecimen,d453bd36-1c1e-48ce-89bb-da4a87da96a7,UCSB-IZC00011377,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Ophion sp. RBoph003",4613,,Ophion,"sp. RBoph003",,,"Rachel Behm",2018,,,,,,"P. & S. Russell",,,,2018-05-12,2018,5,12,132,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Road",,,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,czhu,"2018-07-05 13:15:35",,1,urn:uuid:d453bd36-1c1e-48ce-89bb-da4a87da96a7,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=106422
